ANALYTE_NAME,DATA_SOURCE,MATRIX,NUMBER_OF_ROWS
Dichlorotrifluoroethane,WQ,samplewater,16
Tributylphosphate,"WQ,WQX",samplewater,16
"Dimethylfluorene, 1,7-","Tissue,WQ","sediment,tissue",16
Nylon Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",16
TPH as Diesel C10-C25,WQ,samplewater,15
Total Pyrethrins,WQX,samplewater,15
Unknown Foam,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",14
Dibromoaldrin,WQ,sediment,13
"Dibromo-2,3-dichlorophenyl-hexachloro-norbornene, 4,6-",WQ,sediment,13
Dechlorane 601,WQ,sediment,13
Dechlorane 603,WQ,sediment,13
Dechlorane 604,WQ,sediment,13
Salmonella-invA,WQ,samplewater,13
Dibutyl phosphate,WQ,sediment,13
Diethyl Phosphate,WQ,sediment,13
Pentabromobenzene,WQ,sediment,13
Dimethyl phosphate,WQ,sediment,13
Diphenyl phosphate,WQ,sediment,13
Marbon CNB 23010-1,WQ,sediment,13
Tripropyl Phosphate,WQ,sediment,13
"Bromofluorobenzene, 4-","CIWQS,WQX",samplewater,13
Pentabromoethylbenzene,WQ,sediment,13
Decabromodiphenylethane,WQ,sediment,13
Di(2-ethylhexyl) phosphate,WQ,sediment,13
Tetrabromo-o-chlorotoluene,WQ,sediment,13
Dechlorane Plus Mono Adduct,WQ,sediment,13
"Nitrosomethylethylamine, N-",WQ,samplewater,13
Hexachloro(phenyl)norbornene,WQ,sediment,13
Carbonate Alkalinity as CaCO3,WQ,samplewater,13
Hydroxide Alkalinity as CaCO3,WQ,samplewater,13
Bicarbonate Alkalinity as CaCO3,WQ,samplewater,13
Di-dechlorinated Dechlorane Plus,WQ,sediment,13
Ethylene bis(tetrabromophthalimide),WQ,sediment,13
"Bis(1,3-dichloro-2-propyl) phosphate",WQ,sediment,13
Dibromophenyl-hexachloro-norbornene ,WQ,sediment,13
Monobromophenyl-hexachloro-norbornene-1,WQ,sediment,13
Monobromophenyl-hexachloro-norbornene-2,WQ,sediment,13
Monobromophenyl-hexachloro-norbornene-3,WQ,sediment,13
Tetrachlorophenyl-hexachloro-norbornene,WQ,sediment,13
Hexachlorocyclopentadienyldibromocyclooctane,WQ,sediment,13
Pentabromobenzyl Bromide-1/Pentabromotoluene,WQ,sediment,13
Chlordene Plus,WQ,sediment,13
Terphenyl-d14,WQ,samplewater,12
Nylon Fragment,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >500 um",12
Polyethylene Fiber,WQ,"samplewater, particulate, >125 to 355 um",12
Pentabromobenzyl Bromide-2/Polybrominated Biphenyl 101,WQ,sediment,12
"Stearates, Lubricants, Waxes Fragment",WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",12
"2-ethyl-1-hexyl-2,3,4,5-tetrabromobenzoate",WQ,sediment,12
Ethylene/vinyl Acetate Co-polymer Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um",12
Organic Natural Material Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um",12
Total DDTs,"WQ,WQX","samplewater,sediment",11
Perfluorooctane Sulfonamido Acetic Acid,WQ,sediment,11
Unknown Film,WQ,"sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",11
Unknown Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",11
Triethyl Phosphate,WQ,sediment,11
Triphenyl Phosphate,"CIWQS,WQ,WQX","samplewater,sediment",11
Tetraethyl Pyrophosphate,"WQ,WQX",samplewater,11
Perfluorodecylphosphonate,WQ,sediment,11
Perfluorohexylphosphonate,WQ,sediment,11
Perfluorooctylphosphonate,WQ,sediment,11
"Trimethylphenanthrene, 1,2,6-","Tissue,WQ","sediment,tissue",11
Ultraviolet Absorption (254nm),WQ,samplewater,11
Anthropogenic (synthetic) fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",11
"Perfluorodecylphosphate, 1H,1H,2H,2H-",WQ,sediment,11
"Perfluorooctylphosphate, 1H,1H,2H,2H-",WQ,sediment,11
Polyethylene Co-acrylic Acid Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",11
Perfluorohexylperfluorooctylphosphinate,WQ,sediment,11
Iodomethane,"CIWQS,WQ",samplewater,11
Dry Weight,"Tissue,WQ","sediment,tissue",10
Acrylic Film,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",10
Paint fragment,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",10
"Color, Apparent",WQX,samplewater,10
"Hydroxy-Imidacloprid, 5-",WQ,samplewater,10
Pentabromobenzyl acrylate,WQ,sediment,10
"Dibromo-4-(1,2-dibromoethyl)cyclohexane, gamma-1,2-",WQ,sediment,10
"Tetrachlorophenol, 2,3,5,6-",CIWQS,,10
"Hexabromocyclododecane, beta-",WQ,sediment,10
Total TEQ (WHO 2005; ND=1/2DL),WQ,samplewater,10
Metolachlor ethanesulfonic acid,WQX,samplewater,10
Monomethyl tetrachloroterephthalate,WQX,samplewater,10
Polyethylene/Polypropylene Co-polymer Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",10
Total TEQ (WHO 2005; ND=0),WQ,samplewater,10
Odor,"Field,WQ",samplewater,9
Kepone,WQ,"samplewater,sediment",9
Tedion,WQ,samplewater,9
Radium-226,"CIWQS,WQX",samplewater,9
Radium-228,"CIWQS,WQX",samplewater,9
Enterovirus ,WQ,samplewater,9
"1,2-bis(2,4,6- tribromophenoxy)ethane",WQ,sediment,9
Polystyrene Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",9
Polyethylene Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",9
Imidacloprid olefin,WQ,samplewater,9
Tetrabutyltin as Sn,WQ,sediment,9
Polyester Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",9
Imidacloprid guanidine olefin,WQ,samplewater,9
E. Coli O157:H7,WQ,samplewater,9
Mancozeb,WQ,samplewater,8
PBDE 197,WQ,samplewater,8
Transparency,Field,samplewater,8
Vinyl Acetate,"WQ,WQX",samplewater,8
Algae-floating Mats,WQX,samplewater,8
Polyurethane fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",8
"Dibromo-4-(1,2-dibromoethyl)cyclohexane, beta-1,2-",WQ,sediment,8
Dechlorane 604 Component B,WQ,sediment,8
"Dimethyl-2-nitrobenzene, 1,3-","CIWQS,WQ,WQX",samplewater,8
Not Characterized Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",8
Atrazine-Desisopropyl-2-Hydroxy,WQ,samplewater,8
Tris(2-isopropylphenyl)phosphate,WQ,sediment,8
Polyethylene Co-acrylic Acid Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um",8
"Dimethylnaphthalene, 1,2-","Tissue,WQ","sediment,tissue",8
Algae,WQX,samplewater,7
"Dibromo-4-(1,2-dibromoethyl)cyclohexane, alpha-1,2-",WQ,sediment,7
Polyurethane foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um",7
Polypropylene Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",7
Cellulosic Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",7
Polypropylene Sphere,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",7
"Dichloropropene, 1,3-",WQ,sediment,7
TPH as Diesel C10-C23,WQ,samplewater,7
Terphenyl-d14(Surrogate),CIWQS,,7
"Dichloroethylene, Total 1,2-",WQ,samplewater,7
Organic Natural Material Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >1 mm",7
Anthropogenic (synthetic) Film,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",7
Polyethylene Terephthalate Film,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",7
Total Dioxins-Furans (TEQ ND=0),WQ,samplewater,7
Mono-dechlorinated Dechlorane Plus,WQ,sediment,7
Total Dioxins-Furans (TEQ ND=1/2 DL),WQ,samplewater,7
Unknown Sphere,WQ,"sediment, >125 to 355 um,sediment, >355 to 500 um",7
TRPH,WQ,"samplewater,sediment",6
Paint Fiber,WQ,"samplewater, particulate, >125 to 355 um",6
Acrylic Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",6
Ash Free Dry Mass,WQ,samplewater,6
"Dichloroethane-d4, 1,2-(Surrogate)",CIWQS,,6
Polyurethane Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um",6
Organic Natural Material Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >355 to 500 um",6
"Bacteroidales, Porcine (Pig2Bac)",WQ,samplewater,6
"Stearates, Lubricants, Waxes Foam",WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um",6
Polystyrene Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",6
Cerium,WQ,samplewater,5
Anthropogenic (cellulosic) Film,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um",5
Neodymium,WQ,samplewater,5
Ytterbium,WQ,samplewater,5
"DCBP(p,p')",WQ,sediment,5
Nylon Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",5
Paint Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",5
Aminopyralid,WQ,samplewater,5
Total Di-PCB,WQ,samplewater,5
Total Tri-PCB,WQ,samplewater,5
PCB 093/95/100,WQ,samplewater,5
Total Hexa-PCB,WQ,samplewater,5
Total Mono-PCB,WQ,samplewater,5
Total Nona-PCB,WQ,samplewater,5
Total Octa-PCB,WQ,samplewater,5
Rubber fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",5
Total Hepta-PCB,WQ,samplewater,5
Total Penta-PCB,WQ,samplewater,5
Total Tetra-PCB,WQ,samplewater,5
Dibutyltin as Sn,WQ,sediment,5
Monobutyltin as Sn,WQ,sediment,5
Polyurethane fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um",5
Paraquat Dichloride,WQ,samplewater,5
Phenol-d6(Surrogate),CIWQS,,5
Toluene-d8(Surrogate),CIWQS,,5
Cellulose Acetate Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >500 um",5
"Dimethylphenanthrene, 1,7-","Tissue,WQ","sediment,tissue",5
Nitrobenzene-d5(Surrogate),CIWQS,,5
2-Ethylhexyl-diphenyl phosphate,WQ,sediment,5
Holmium,WQ,samplewater,5
Chlorate,WQ,samplewater,4
Ethylene/vinyl Acetate Co-polymer Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",4
Dichrotophos,WQ,samplewater,4
Formaldehyde,CIWQS,,4
Marbon CNB 23010-2,WQ,sediment,4
Polycarbonate Fragment,WQ,"samplewater, particulate, > 212 um,samplewater, particulate, >1000 um,sediment, >125 to 355 um,sediment, >500 um",4
Polyvinyl Chloride Fiber,WQ,"sediment, >125 to 355 um,sediment, >355 to 500 um",4
TPH as Motor Oil C14-C44,WQ,sediment,4
Tetraethyl pyrophosphate,CIWQS,,4
Dry Weight Standard Error,Tissue,tissue,4
Esfenvalerate/Fenvalerate-1,WQ,sediment,4
Esfenvalerate/Fenvalerate-2,WQ,sediment,4
Polyvinyl Chloride Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",4
"Hexabromocyclododecane, alpha-",WQ,sediment,4
"Hexabromocyclododecane, gamma-",WQ,sediment,4
"Stearates, Lubricants, Waxes Film",WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",4
Polystyrene/Acrylic Co-polymer Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",4
Chlorite,WQ,samplewater,4
Wool Foam,WQ,"samplewater, particulate, >125 to 355 um",3
Acrylonitrile Butadiene Styrene Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",3
PCB 131/133,WQ,samplewater,3
Cellulosic Film,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",3
Growth (weight),Tissue,tissue,3
"Methylanthracene, 2-","Tissue,WQ","sediment,tissue",3
Growth Standard Error,Tissue,tissue,3
"Hydroxy-ibuprofen, 2-",WQ,samplewater,3
"Hydroxycarbofuran, 3-",CIWQS,,3
TPH as Diesel C13-C14,WQ,sediment,3
TPH as Diesel C15-C16,WQ,sediment,3
TPH as Diesel C17-C18,WQ,sediment,3
TPH as Diesel C19-C20,WQ,sediment,3
TPH as Diesel C21-C22,WQ,sediment,3
TPH as Diesel C23-C24,WQ,sediment,3
TPH as Diesel C25-C28,WQ,sediment,3
Polyvinyl Alcohol Film,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um",3
TPH as Gasoline C5-C12,WQ,samplewater,3
TPH as Gasoline C9-C10,WQ,sediment,3
Polyvinyl Alcohol Fiber,WQ,"sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",3
Polyvinyl Chloride Foam,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",3
Styrene Co-polymer Foam,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um",3
TPH as Gasoline C11-C12,WQ,sediment,3
TPH as Motor Oil C18-C36,WQ,samplewater,3
Styrene Co-polymer Fragment,WQ,"samplewater, particulate, >125 to 355 um",3
Organic Natural Material Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",3
Anthropogenic (synthetic) Foam,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",3
Organic Natural Material Sphere,WQ,"samplewater, particulate, >125 to 355 um",3
Anthropogenic (cellulosic) Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",3
Bis(2-ethly-1-hexyl)tetrabromophthalate,WQ,sediment,3
"Cymene, p-",WQX,samplewater,3
Survival,Tissue,tissue,2
Polyethylene/Polypropylene Co-polymer Sphere,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >500 to 1000 um",2
Paint Film,WQ,"samplewater, particulate, >125 to 355 um",2
Rubber Foam,WQ,"samplewater, particulate, >125 to 355 um",2
Wool Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",2
Dechlorane 602,WQ,sediment,2
Glass fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um",2
Asphalt Fragment,WQ,"samplewater, particulate, >125 to 355 um",2
"Parathion, Total",WQ,samplewater,2
Cotton Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",2
Dibromofluoromethane,"CIWQS,WQX",samplewater,2
"Dechlorane Plus, syn-",WQ,sediment,2
Triisobutyl Phosphate,WQ,sediment,2
Cellulose Acetate Film,WQ,"samplewater, particulate, >500 to 1000 um,sediment, >355 to 500 um",2
"Dimethylchrysene, 5,9-","Tissue,WQ","sediment,tissue",2
TPH as Gasoline C3-C13,WQ,samplewater,2
"Tribromobenzene, 1,3,5-",WQ,sediment,2
Benzo(b/j/k)fluoranthene,"Tissue,WQ","samplewater,tissue",2
"Methylbenzo(a)pyrene, 7-","Tissue,WQ","sediment,tissue",2
"Chlorthal-Dimethyl, Total",WQX,samplewater,2
"Dimethylphenanthrene, 1,8-","Tissue,WQ","sediment,tissue",2
Polyvinyl Alcohol Fragment,WQ,"sediment, >125 to 355 um",2
"Methyldibenzothiophenes, 2/3-",WQ,sediment,2
Anthropogenic (cellulosic) Foam,WQ,"samplewater, particulate, >125 to 355 um",2
Polyethylene Terephthalate Foam,WQ,"samplewater, particulate, >125 to 355 um",2
Inorganic Natural Material Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",2
"Tris(2,3-dibromopropyl) phosphate",WQ,sediment,2
Anthropogenic (protein base) Fiber,WQ,"samplewater, particulate, >125 to 355 um",2
"Dichlorobenzene-d4, 1,4-(Surrogate)",CIWQS,,2
Polyethylene Co-acrylic Acid Sphere,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >500 to 1000 um",2
Ethylene/vinyl Acetate Co-polymer Film,WQ,"samplewater, particulate, >1000 um,sediment, >125 to 355 um",2
Anthropogenic (cellulosic) Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",2
Polyethylene/Polypropylene Co-polymer Film,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um",2
Wool Film,WQ,"samplewater, particulate, >125 to 355 um",2
TPH as Heavy Fuel Oils C22-C36,WQ,samplewater,1
Inorganic Natural Material Film,WQ,"samplewater, particulate, >355 to 500 um",1
Unknown Potentially Rubber Foam,WQ,"samplewater, particulate, >125 to 355 um",1
Anthropogenic (synthetic) Sphere,WQ,"samplewater, particulate, >125 to 355 um",1
Anthropogenic (cellulosic) Sphere,WQ,"samplewater, particulate, >125 to 355 um",1
Inorganic Natural Material Sphere,WQ,"sediment, >125 to 355 um",1
Polyethylene Co-acrylic Acid Foam,WQ,"samplewater, particulate, >355 to 500 um",1
TPH as Motor Oil / Diesel C13-C44,WQ,sediment,1
Anthropogenic (unknown base) Sphere,WQ,"samplewater, particulate, >125 to 355 um",1
Polystyrene/Acrylic Co-polymer Film,WQ,"samplewater, particulate, >1000 um",1
Acrylonitrile Butadiene Styrene Film,WQ,"sediment, >125 to 355 um",1
"Benzofluoranthenes/Benzopyrenes, C1-",Tissue,tissue,1
"Benzofluoranthenes/Benzopyrenes, C2-",Tissue,tissue,1
Polystyrene/Acrylic Co-polymer Fiber,WQ,"samplewater, particulate, >125 to 355 um",1
Polytetrafluoroethylene Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",1
Acrylonitrile Butadiene Styrene Fiber,WQ,"samplewater, particulate, >125 to 355 um",1
Polystyrene/Acrylic Co-polymer Sphere,WQ,"sediment, >125 to 355 um",1
Polystyrene/Acrylic Co-polymer Fragment,WQ,"samplewater, particulate, >125 to 355 um",1
Ethylene/vinyl Acetate Co-polymer Sphere,WQ,"samplewater, particulate, >1000 um",1
Polyethylene/Polypropylene Co-polymer Fiber,WQ,"samplewater, particulate, >125 to 355 um",1
Rubber Film,WQ,"samplewater, particulate, >1000 um",1
Glass sphere,WQ,"samplewater, particulate, >125 to 355 um",1
Nylon Sphere,WQ,"samplewater, particulate, >125 to 355 um",1
Rubber Sphere,WQ,"samplewater, particulate, >125 to 355 um",1
Silicone Film,WQ,"samplewater, particulate, >125 to 355 um",1
Hexabromobenzene,WQ,sediment,1
"Decane, 2-phenyl-",WQ,sediment,1
"Decane, 3-phenyl-",WQ,sediment,1
"Decane, 4-phenyl-",WQ,sediment,1
"Decane, 5-phenyl-",WQ,sediment,1
Silicone Fragment,WQ,"samplewater, particulate, >500 to 1000 um",1
Wool Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",1
"Chlorophyll, Total",WQX,samplewater,1
"Methylchrysene, 1-",Tissue,tissue,1
"Methylfluorene, 2-",WQ,sediment,1
TPH as Gasoline C6,WQ,sediment,1
TPH as Gasoline C7,WQ,sediment,1
TPH as Gasoline C8,WQ,sediment,1
TPH as Oil C29-C44,WQ,samplewater,1
"Dodecane, 2-phenyl-",WQ,sediment,1
"Dodecane, 3-phenyl-",WQ,sediment,1
"Dodecane, 4-phenyl-",WQ,sediment,1
"Dodecane, 5-phenyl-",WQ,sediment,1
"Dodecane, 6-phenyl-",WQ,sediment,1
"Undecane, 2-phenyl-",WQ,sediment,1
"Undecane, 3-phenyl-",WQ,sediment,1
"Undecane, 4-phenyl-",WQ,sediment,1
"Undecane, 5-phenyl-",WQ,sediment,1
"Undecane, 6-phenyl-",WQ,sediment,1
"Tridecane, 2-phenyl-",WQ,sediment,1
"Tridecane, 3-phenyl-",WQ,sediment,1
"Tridecane, 4-phenyl-",WQ,sediment,1
"Tridecane, 5-phenyl-",WQ,sediment,1
TPH as Diesel C10-C22,WQ,samplewater,1
TPH as Diesel C13-C22,WQ,sediment,1
TPH as Gasoline C4-C5,WQ,sediment,1
"Dibenzothiophenes, C4-",WQ,sediment,1
"Methylphenanthrene, 3-",WQ,sediment,1
Polycaprolactone Fiber,WQ,"samplewater, particulate, >125 to 355 um",1
Polyethylenimine Fiber,WQ,"sediment, >1 mm",1
Polyvinyl Alcohol Foam,WQ,"sediment, >125 to 355 um",1
"Tetradecane, 2-phenyl-",WQ,sediment,1
"Tetradecane, 3-phenyl-",WQ,sediment,1
"Tetradecane, 4-phenyl-",WQ,sediment,1
"Tetradecane, 5-phenyl-",WQ,sediment,1
"Tetradecane, 6-phenyl-",WQ,sediment,1
"Tetradecane, 7-phenyl-",WQ,sediment,1
"Tridecane, 6/7-phenyl-",WQ,sediment,1
Perylene-d12(Surrogate),CIWQS,,1
Polyvinyl Butyral Fiber,WQ,"sediment, >355 to 500 um",1
Polyvinyl Chloride Film,WQ,"samplewater, particulate, >125 to 355 um",1
TPH as Residual C29-C32,WQ,sediment,1
TPH as Residual C33-C36,WQ,sediment,1
TPH as Residual C37-C40,WQ,sediment,1
TPH as Residual C41-C44,WQ,sediment,1
Cellulose Acetate Sphere,WQ,"samplewater, particulate, >500 to 1000 um",1
Polystyrene Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",1
TPH as Motor Oil C23-C44,WQ,sediment,1
Polyethylene Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",1
Deaminated metribuzin (DA),WQX,samplewater,1
"Dimethylphenanthrene, 2,6-",WQ,sediment,1
Polypropylene Fiber Bundle,WQ,"samplewater, particulate, >125 to 355 um",1
Polyvinyl Acetate Fragment,WQ,"samplewater, particulate, >125 to 355 um",1
"Tetrachlorophenol, 2,3,4,5-",CIWQS,,1
